#
# Transition date estimate for harvardbarn2
#
# Site: harvardbarn2
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2012
# Year max: 2020
# Final Processing Date: 2020-09-25
# Final Processing Time: 14:15:56
# Spline RMSE gcc_mean: 0.00383
# Spline RMSE gcc_50: 0.00392
# Spline RMSE gcc_75: 0.00391
# Spline RMSE gcc_90: 0.00432
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
harvardbarn2,DB,1000,rising,gcc_90,2012-05-03,2012-05-07,2012-05-11,2012-05-02,2012-05-05,2012-05-09,2012-05-05,2012-05-08,2012-05-12,0.31759,0.33474,0.36455,0.31027,0.40841
harvardbarn2,DB,1000,rising,gcc_90,2013-05-05,2013-05-08,2013-05-14,2013-05-03,2013-05-07,2013-05-12,2013-05-07,2013-05-10,2013-05-15,0.32084,0.33592,0.3723,0.31035,0.42515
harvardbarn2,DB,1000,rising,gcc_90,2014-05-13,2014-05-16,2014-05-20,2014-05-12,2014-05-15,2014-05-19,2014-05-15,2014-05-18,2014-05-21,0.31953,0.33605,0.36818,0.30989,0.42606
harvardbarn2,DB,1000,rising,gcc_90,2015-05-06,2015-05-09,2015-05-14,2015-05-05,2015-05-08,2015-05-12,2015-05-08,2015-05-11,2015-05-15,0.32424,0.34047,0.37999,0.31693,0.43383
harvardbarn2,DB,1000,rising,gcc_90,2016-05-11,2016-05-16,2016-05-21,2016-05-09,2016-05-15,2016-05-19,2016-05-14,2016-05-18,2016-05-22,0.32524,0.34447,0.38256,0.3135,0.44527
harvardbarn2,DB,1000,rising,gcc_90,2017-05-11,2017-05-14,2017-05-19,2017-05-10,2017-05-13,2017-05-17,2017-05-13,2017-05-16,2017-05-20,0.32422,0.34316,0.3858,0.31347,0.44751
harvardbarn2,DB,1000,rising,gcc_90,2018-05-08,2018-05-11,2018-05-16,2018-05-06,2018-05-10,2018-05-15,2018-05-10,2018-05-13,2018-05-17,0.32299,0.33617,0.37067,0.313,0.42542
harvardbarn2,DB,1000,rising,gcc_90,2019-05-13,2019-05-17,2019-05-22,2019-05-11,2019-05-16,2019-05-20,2019-05-15,2019-05-19,2019-05-23,0.31523,0.33146,0.37303,0.30414,0.42521
harvardbarn2,DB,1000,rising,gcc_90,2020-05-15,2020-05-18,2020-05-24,2020-05-12,2020-05-17,2020-05-22,2020-05-17,2020-05-20,2020-05-25,0.31846,0.33185,0.3732,0.30698,0.42431
harvardbarn2,DB,1000,rising,gcc_75,2012-05-03,2012-05-06,2012-05-11,2012-05-02,2012-05-05,2012-05-09,2012-05-05,2012-05-08,2012-05-12,0.31378,0.3259,0.35952,0.3067,0.40266
harvardbarn2,DB,1000,rising,gcc_75,2013-05-05,2013-05-08,2013-05-14,2013-05-03,2013-05-07,2013-05-12,2013-05-07,2013-05-10,2013-05-15,0.31703,0.33187,0.36757,0.30685,0.41597
harvardbarn2,DB,1000,rising,gcc_75,2014-05-12,2014-05-15,2014-05-20,2014-05-11,2014-05-14,2014-05-18,2014-05-14,2014-05-17,2014-05-21,0.31308,0.3293,0.36986,0.30636,0.41758
harvardbarn2,DB,1000,rising,gcc_75,2015-05-07,2015-05-09,2015-05-14,2015-05-06,2015-05-08,2015-05-12,2015-05-09,2015-05-11,2015-05-15,0.32506,0.33612,0.37412,0.31488,0.42704
harvardbarn2,DB,1000,rising,gcc_75,2016-05-10,2016-05-15,2016-05-21,2016-05-07,2016-05-14,2016-05-19,2016-05-13,2016-05-17,2016-05-22,0.32127,0.33676,0.37694,0.30966,0.43375
harvardbarn2,DB,1000,rising,gcc_75,2017-05-11,2017-05-14,2017-05-19,2017-05-10,2017-05-13,2017-05-18,2017-05-13,2017-05-16,2017-05-20,0.32209,0.33965,0.38057,0.31148,0.44095
harvardbarn2,DB,1000,rising,gcc_75,2018-05-08,2018-05-12,2018-05-17,2018-05-07,2018-05-11,2018-05-15,2018-05-11,2018-05-13,2018-05-18,0.31867,0.33578,0.36809,0.31117,0.4161
harvardbarn2,DB,1000,rising,gcc_75,2019-05-12,2019-05-17,2019-05-21,2019-05-11,2019-05-16,2019-05-20,2019-05-15,2019-05-18,2019-05-22,0.31057,0.32879,0.35932,0.30203,0.41378
harvardbarn2,DB,1000,rising,gcc_75,2020-05-15,2020-05-18,2020-05-24,2020-05-11,2020-05-17,2020-05-22,2020-05-17,2020-05-20,2020-05-25,0.31672,0.3288,0.36776,0.30541,0.42016
harvardbarn2,DB,1000,rising,gcc_50,2012-05-04,2012-05-07,2012-05-11,2012-05-02,2012-05-06,2012-05-10,2012-05-06,2012-05-09,2012-05-12,0.31118,0.32337,0.34981,0.30176,0.39773
harvardbarn2,DB,1000,rising,gcc_50,2013-05-05,2013-05-08,2013-05-14,2013-05-04,2013-05-07,2013-05-12,2013-05-07,2013-05-10,2013-05-15,0.31093,0.32574,0.36142,0.30231,0.40806
harvardbarn2,DB,1000,rising,gcc_50,2014-05-13,2014-05-16,2014-05-20,2014-05-12,2014-05-15,2014-05-19,2014-05-15,2014-05-18,2014-05-21,0.31173,0.32799,0.35998,0.30245,0.41092
harvardbarn2,DB,1000,rising,gcc_50,2015-05-07,2015-05-10,2015-05-15,2015-05-06,2015-05-09,2015-05-13,2015-05-09,2015-05-11,2015-05-16,0.3187,0.33588,0.37228,0.31224,0.42002
