#
# Transition date estimate for harvardbarn2
#
# Site: harvardbarn2
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2012
# Year max: 2020
# Final Processing Date: 2020-10-11
# Final Processing Time: 07:56:05
# Spline RMSE gcc_mean: 0.00389
# Spline RMSE gcc_50: 0.00395
# Spline RMSE gcc_75: 0.00392
# Spline RMSE gcc_90: 0.00431
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
harvardbarn2,DB,1000,rising,gcc_90,2012-05-03,2012-05-07,2012-05-11,2012-05-02,2012-05-05,2012-05-09,2012-05-05,2012-05-08,2012-05-12,0.31759,0.33474,0.36455,0.31027,0.40841
harvardbarn2,DB,1000,rising,gcc_90,2013-05-05,2013-05-08,2013-05-14,2013-05-03,2013-05-07,2013-05-12,2013-05-07,2013-05-10,2013-05-15,0.32084,0.33592,0.3723,0.31035,0.42515
harvardbarn2,DB,1000,rising,gcc_90,2014-05-13,2014-05-16,2014-05-20,2014-05-12,2014-05-15,2014-05-19,2014-05-15,2014-05-17,2014-05-21,0.31808,0.33573,0.36887,0.31008,0.4251
harvardbarn2,DB,1000,rising,gcc_90,2015-05-06,2015-05-09,2015-05-14,2015-05-05,2015-05-08,2015-05-12,2015-05-08,2015-05-11,2015-05-15,0.32424,0.34047,0.37999,0.31693,0.43383
harvardbarn2,DB,1000,rising,gcc_90,2016-05-11,2016-05-16,2016-05-21,2016-05-09,2016-05-15,2016-05-20,2016-05-14,2016-05-17,2016-05-22,0.32524,0.34591,0.38182,0.3135,0.44527
harvardbarn2,DB,1000,rising,gcc_90,2017-05-11,2017-05-14,2017-05-19,2017-05-10,2017-05-13,2017-05-17,2017-05-13,2017-05-15,2017-05-20,0.32422,0.34369,0.38937,0.31348,0.44843
harvardbarn2,DB,1000,rising,gcc_90,2018-05-08,2018-05-11,2018-05-16,2018-05-07,2018-05-10,2018-05-14,2018-05-10,2018-05-13,2018-05-17,0.32247,0.33786,0.37095,0.31306,0.42542
harvardbarn2,DB,1000,rising,gcc_90,2019-05-13,2019-05-17,2019-05-22,2019-05-11,2019-05-16,2019-05-20,2019-05-15,2019-05-19,2019-05-23,0.31523,0.33146,0.37303,0.30417,0.42614
harvardbarn2,DB,1000,rising,gcc_90,2020-05-14,2020-05-19,2020-05-23,2020-05-12,2020-05-17,2020-05-22,2020-05-17,2020-05-20,2020-05-24,0.31664,0.33655,0.3676,0.3074,0.42416
harvardbarn2,DB,1000,rising,gcc_75,2012-05-03,2012-05-06,2012-05-11,2012-05-02,2012-05-05,2012-05-09,2012-05-05,2012-05-08,2012-05-12,0.31378,0.3259,0.35952,0.3067,0.40266
harvardbarn2,DB,1000,rising,gcc_75,2013-05-05,2013-05-08,2013-05-14,2013-05-03,2013-05-07,2013-05-12,2013-05-07,2013-05-10,2013-05-15,0.31703,0.33187,0.36757,0.30685,0.41597
harvardbarn2,DB,1000,rising,gcc_75,2014-05-13,2014-05-15,2014-05-19,2014-05-11,2014-05-14,2014-05-18,2014-05-15,2014-05-17,2014-05-20,0.31678,0.32757,0.36352,0.30677,0.41732
harvardbarn2,DB,1000,rising,gcc_75,2015-05-07,2015-05-09,2015-05-14,2015-05-06,2015-05-08,2015-05-12,2015-05-09,2015-05-11,2015-05-15,0.32506,0.33612,0.37412,0.3149,0.4271
harvardbarn2,DB,1000,rising,gcc_75,2016-05-10,2016-05-15,2016-05-21,2016-05-07,2016-05-14,2016-05-19,2016-05-13,2016-05-17,2016-05-22,0.32127,0.33771,0.37622,0.30966,0.43375
harvardbarn2,DB,1000,rising,gcc_75,2017-05-11,2017-05-14,2017-05-19,2017-05-10,2017-05-13,2017-05-17,2017-05-13,2017-05-15,2017-05-20,0.32209,0.34043,0.38408,0.31156,0.44146
harvardbarn2,DB,1000,rising,gcc_75,2018-05-08,2018-05-11,2018-05-17,2018-05-07,2018-05-10,2018-05-15,2018-05-10,2018-05-13,2018-05-18,0.31824,0.33205,0.36809,0.31135,0.4161
harvardbarn2,DB,1000,rising,gcc_75,2019-05-13,2019-05-17,2019-05-21,2019-05-11,2019-05-16,2019-05-20,2019-05-15,2019-05-18,2019-05-22,0.31322,0.32879,0.35932,0.30222,0.41402
harvardbarn2,DB,1000,rising,gcc_75,2020-05-14,2020-05-19,2020-05-24,2020-05-12,2020-05-18,2020-05-22,2020-05-17,2020-05-21,2020-05-25,0.31542,0.33283,0.37,0.30559,0.41985
harvardbarn2,DB,1000,rising,gcc_50,2012-05-04,2012-05-07,2012-05-11,2012-05-02,2012-05-06,2012-05-10,2012-05-06,2012-05-09,2012-05-12,0.31118,0.32337,0.34981,0.30176,0.39773
harvardbarn2,DB,1000,rising,gcc_50,2013-05-05,2013-05-08,2013-05-14,2013-05-04,2013-05-07,2013-05-12,2013-05-07,2013-05-10,2013-05-15,0.31093,0.32574,0.36142,0.30231,0.40806
harvardbarn2,DB,1000,rising,gcc_50,2014-05-13,2014-05-16,2014-05-20,2014-05-12,2014-05-15,2014-05-18,2014-05-15,2014-05-17,2014-05-21,0.31026,0.32768,0.36058,0.30279,0.411
harvardbarn2,DB,1000,rising,gcc_50,2015-05-07,2015-05-10,2015-05-15,2015-05-06,2015-05-09,2015-05-13,2015-05-09,2015-05-12,2015-05-16,0.3187,0.33588,0.37228,0.31224,0.42025
